,MD,mf1,mf2,mH,mA,mE1,mE2,mu->e gamma,alfa,delta,y1,rho1,eta2,eta3,f2,f3,f1,rho2,rho3,k,I1,I2,mu,Rmuv
402,1118.49380483,1118.32334029,1878.64273972,936.348483112,945.301198294,937.498727587,1118.05126293,2.99487336142e-17,-0.0149739102219,0.000687837377217,0.00145761855032,0.00122733751588,-0.00723213805633,-0.0088896821695,0.00169795639183,0.000727757301418,0.000470655585782,0.217164953375,0.00268707583235,-1.17043622735e-06,0.16577972102,0.108239390269,1.46756437229,0.00596570883043
420,1306.33883644,1306.30635687,1878.12967531,852.592404095,856.072374042,855.412204904,1305.66392438,2.01170657988e-14,-0.0075366494363,0.00489397440832,0.000224194229546,0.0115715667741,-0.00111236483589,-0.00136730933101,0.00191759293209,0.000821895228989,0.000531536515948,0.000975036231687,0.00355550489433,-6.73809801227e-06,0.363836665682,0.268422248768,27.3753762245,0.111282017173
428,1204.63762185,1204.46055417,1917.6692147,542.964622286,550.355414415,552.930423859,1204.1756321,9.72390465414e-14,0.0157572098764,-0.00206747545094,0.000205742809095,0.191316915698,-0.00102081604213,-0.00125477833766,0.0026352088327,0.00112947097934,0.000730452067426,0.00790277634695,0.000506231092519,-5.34291754362e-06,0.58398945034,0.380302997857,-13.6007084507,-0.0552874327264
444,1064.74951605,1064.43707295,1097.26970432,625.272038477,627.161562689,635.199167172,1063.67836685,2.98773184558e-20,-0.0977065893519,-0.00494326453469,0.000286167278693,0.00194142109619,-0.00141985107576,-0.00174526878403,-0.00109878354951,-0.000470947166064,-0.000304571199608,0.000671205782167,0.00284497424864,9.21268139626e-06,0.428247056933,0.418195670687,-20.6860935889,-0.0840898113369
460,1039.03303105,1038.72953904,1062.25724265,566.539401766,566.581914575,572.488043757,1038.13707171,9.69247590966e-19,0.113820892971,0.00246118717606,0.000178003455726,0.020102747914,-0.000883184126623,-0.00108560236567,-0.00403668536392,-0.00173015470907,-0.00111892656591,0.000291735390783,0.00578323449974,4.031483074e-06,0.479588755867,0.471124429226,10.6114797146,0.0431360964007
504,1574.86360906,1574.82282658,1577.2246777,846.013213902,849.304716179,854.916953346,1573.97054444,1.07374983089e-15,-0.130677422112,-0.00341520218606,0.000832029201909,0.035419037181,-0.00412820628126,-0.00507435581079,-0.0051338926856,-0.00220042629164,-0.0014230608518,0.000789347732996,0.00108193333455,6.78161013318e-07,0.488944314342,0.488353620014,-34.2895347531,-0.139388352655
578,1198.96732955,1198.21058489,1990.7582323,572.795983513,578.571715814,577.247366129,1197.40775752,1.24839770831e-14,-0.030905169369,-0.00485365960568,0.000126197399572,0.667930407875,-0.000626142563743,-0.000769649077647,-0.000915300048502,-0.000392304712,-0.000253711510241,0.000964649467038,0.100687445546,2.50786574353e-05,0.557874262217,0.349047544884,-30.708625472,-0.124831810862
602,1332.39291852,1302.9216261,2072.14633061,663.620203885,665.171718285,665.326558177,1302.27340759,4.56422814164e-15,-0.197008954848,-0.00039607536859,0.000208252442981,0.0818672992694,-0.00103326787236,-0.00127008402076,-0.000934552192193,-0.000400556330361,-0.000259048001219,0.00668028958726,0.000500923741587,1.48841661439e-05,0.525369603059,0.345260819435,-2.85363012078,-0.0116001224422
634,1344.9894463,1342.61635152,1818.40252906,865.930973741,867.853483464,870.06001973,1341.99746078,2.38480935401e-13,0.0706827305088,-0.000388385367336,0.000292686719792,0.1852729312,-0.00145219801458,-0.00178502936425,0.00211975223924,0.000908542278661,0.000587572941609,0.0461770867441,0.0988645630474,-4.66906644454e-06,0.371394172387,0.289038067166,-2.33089949407,-0.00947520119541
658,1085.50653101,1077.42975915,1327.03315772,802.677037746,811.397529572,805.899267872,1076.51865832,8.54510189474e-20,0.180868999903,0.000217095102806,0.000337733232149,0.000560767166973,-0.00167570134215,-0.00205975774062,-0.00262386097424,-0.00112460719904,-0.000727306560867,0.000905050486055,0.327070378812,3.2689144737e-06,0.261580004622,0.222505142038,0.635777077023,0.0025844596627
